name,location,given_by,dialogue,requirements,objectives,rewards,previous,leads_to
Scavenger,,Ragman,,Must be level 29 to start this quest.,Reach the required Search skill level of 9,"+10,000 EXP | Ragman Rep +0.03 | 65,000 Roubles 68,250 Roubles with Intelligence Center Level 1 74,750 Roubles with Intelligence Center Level 2 | Unlocks barter for Crash Axe at Ragman LL4",Hot Delivery,
Inventory Check,Reserve,Ragman,,Must be level 15 to start this quest.,Check the first arsenal in the eastern barracks (Black Pawn) on Reserve | Check the second arsenal in the eastern barracks (Black Pawn) on Reserve | Check the first arsenal in the southern barracks (White Pawn) on Reserve | Check the second arsenal in the southern barracks (White Pawn) on Reserve | Check the duty room in the eastern barracks (Black Pawn) on Reserve | Survive and extract from the location,"+10,000 EXP | Ragman Rep +0.03 | 30,000 Roubles 31,500 Roubles with Intelligence Center Level 1 34,500 Roubles with Intelligence Center Level 2 | 1× ZSh-1-2M helmet (Olive Drab) | Unlocks purchase of Camelbak Tri-Zip assault backpack (Foliage) at Ragman LL3 | Unlocks purchase of Camelbak Tri-Zip assault backpack (MultiCam) at Ragman LL3",A Fuel Matter,
A Fuel Matter,Reserve,Ragman,,Must be level 15 to start this quest.,Mark the first group of fuel tanks with an MS2000 Marker on Reserve | Mark the second group of fuel tanks with an MS2000 Marker on Reserve | Survive and extract from the location,"+8,200 EXP | Ragman Rep +0.03 | 30,000 Roubles 31,500 Roubles with Intelligence Center Level 1 34,500 Roubles with Intelligence Center Level 2 | 2× Propane tank (5L)",The Blood of War - Part 1,Inventory Check
Long Line,Interchange,Ragman,,Must be level 45 to start this quest.,Eliminate 20 PMCs inside the ULTRA mall on Interchange,"+84,000 EXP | 1× 6Sh118 raid backpack (EMR) | 1× Rys-T bulletproof helmet (Black)",Supervisor,Booze
Booze,,Ragman,,Must be level 50 to start this quest.,Find 10 Bottles of Tarkovskaya vodka in raid | Find 10 Bottles of Dan Jackiel whiskey in raid | Find 3 Canister with purified water in raid | Find 20 Bottles of Pevko Light beer in raid | Hand over 10 Bottles of Tarkovskaya vodka to Ragman | Hand over 10 Bottles of Dan Jackiel whiskey to Ragman | Hand over 3 Canister with purified water to Ragman | Hand over 20 Bottles of Pevko Light beer to Ragman,"+107,000 EXP | 3× Paracord | 10× Piece of plexiglass | Unlocks Bottle Hideout shooting range target style",Long Line,
Audit,Streets of Tarkov,Ragman,,Must be level 17 to start this quest.,Obtain the financial records on Streets of Tarkov | Hand over the journal to Ragman,"+8,700 EXP | Ragman Rep +0.02 | 200,000 Roubles 210,000 Roubles with Intelligence Center Level 1 230,000 Roubles with Intelligence Center Level 2 | Unlocks purchase of 6B13 assault armor (Flora) at Ragman LL2",Only Business,Ballet Lover
Audiophile,Streets of Tarkov,Ragman,,Must be level 25 to start this quest.,Locate the musician gathering spot on Streets of Tarkov | Obtain the engraved guitar pick | Hand over the guitar pick to Ragman,"+17,200 EXP | Ragman Rep +0.02 | 87,000 Roubles 91,350 Roubles with Intelligence Center Level 1 100,050 Roubles with Intelligence Center Level 2 | 1× Roler Submariner gold wrist watch | 1× Gold skull ring | Unlocks purchase of CQC Osprey MK4A plate carrier (Assault, MTP) at Ragman LL3",Minibus | Ballet Lover,
Ballet Lover,Streets of Tarkov,Ragman,,Must be level 20 to start this quest.,Locate the balletmeister's apartment on Streets of Tarkov | Survive and extract from the location,"+10,700 EXP | Ragman Rep +0.02 | 66,000 Roubles 69,300 Roubles with Intelligence Center Level 1 75,900 Roubles with Intelligence Center Level 2 | 1× Eagle Industries MMAC plate carrier (Ranger Green) | Unlocks purchase of 6B5-15 Zh-86 Uley armored rig (Flora) at Ragman LL2",Audit,Audiophile | Dandies
Dandies,Streets of Tarkov,Ragman,,Must be level 33 to start this quest.,Eliminate any 30 enemies while wearing a Bomber beanie and RayBench Hipster Reserve sunglasses on Streets of Tarkov | Stash a Bomber beanie inside the barber shop on Streets of Tarkov | Stash RayBench Hipster Reserve sunglasses inside the barber shop on Streets of Tarkov,"+11,000 EXP | Ragman Rep +0.03 | 350,000 Roubles 367,500 Roubles with Intelligence Center Level 1 402,500 Roubles with Intelligence Center Level 2 | 1× FORT Redut-M body armor | Unlocks Bricks Hideout wall style",Ballet Lover,Drip-Out - Part 2
Nothing Fishy About This,Shoreline,Ragman,,,Locate Ragman 's SUV on Shoreline | Survive and extract from the location,"+7,200 EXP | Ragman Rep +0.01 | 25,000 Roubles 26,250 Roubles with Intelligence center Level 1 28,750 Roubles with Intelligence center Level 2 | 1× Stich Profi Chest Rig MK2 (Recon, A-TACS FG)",Big Sale,
Drip-Out - Part 1,,Ragman,,,Eliminate 100 Raiders | Hand over 50 found in raid WARTECH brand equipment,,Minibus,
Drip-Out - Part 2,,Ragman,,,Eliminate 100 Rogues | Hand over 50 found in raid LBT brand equipment,,Dandies,
The Invisible Hand,,Ragman,,Must be level 35 to start this quest.,Eliminate any 15 targets that are using a 20+ container size backpack,"+12,800 EXP | Ragman Rep +0.02 | 86,000 Roubles 90,300 Roubles with Intelligence Center Level 1 98,900 Roubles with Intelligence Center Level 2 | 1× Gold skull ring",Only Business,Circulate
Circulate,,Ragman,,,Sell Ragman any 250 backpacks or tactical rigs,"+32,000 EXP | Ragman Rep +0.01 | 264,000 Roubles 277,200 Roubles with Intelligence Center Level 1 303,600 Roubles with Intelligence Center Level 2 | 2× Bottle of Fierce Hatchling moonshine",The Invisible Hand,Special Offer
Special Offer,,Ragman,,,Find Sanitar's bag in raid | Hand over the equipment | Find Crye Precision AVS plate carrier (Tagilla Edition) in raid | Hand over the equipment | Find LBT-1961A Load Bearing Chest Rig (Goons Edition) in raid | Hand over the equipment | Find Mystery Ranch NICE COMM 3 BVS frame system (Coyote) in raid | Hand over the equipment | Find Crye Precision CPC plate carrier (Goons Edition) in raid | Hand over the equipment,"+85,500 EXP | Ragman Rep +0.03 | 328,000 Roubles 344,400 Roubles with Intelligence Center Level 1 377,200 Roubles with Intelligence Center Level 2 | 2× Walker's XCEL 500BT Digital headset | 2× Diamond Age Bastion helmet (Black)",Circulate,Combat Proven
Combat Proven,,Ragman,,,"Locate and neutralize any 5 Bosses (Excluding the Goons , Partisan , Shadow of Tagilla and Vengeful Killa ) while using any Goons Edition tactical rig","+92,000 EXP | Ragman Rep +0.03 | 340,000 Roubles 357,000 Roubles with Intelligence Center Level 1 391,000 Roubles with Intelligence Center Level 2 | 3× NPP KlASS Bagariy plate carrier (EMR) | Unlocks Laminate Hideout floor style",Special Offer,Old Patterns
Old Patterns,,Ragman,,,Hand over 15 Physical Bitcoins,Ragman Rep +0.01 | +2 pocket slots,Combat Proven,
Key to the City,Streets of Tarkov,Ragman,,"This quest is only available to buyers of the ""Edge of Darkness"" edition of the game.",Locate and obtain the souvenir key to the city on Streets of Tarkov | Hand over the found item,"+55,000 EXP | Ragman Rep +0.02 | 145,000 Roubles 152,250 Roubles with Intelligence center Level 1 166,750 Roubles with Intelligence center Level 2 | 3× Bottle of Fierce Hatchling moonshine",Proper Comeback,
Know Your Place!,"Streets of Tarkov , Interchange",Ragman,,,Eliminate any 5 targets on Streets of Tarkov (In one raid) | Use the transit from Streets of Tarkov to Interchange (In one raid) | Eliminate any 5 targets on Interchange (In one raid),"+28,800 EXP | Ragman Rep +0.03 | 98,000 Roubles 102,900 Roubles with Intelligence Center Level 1 112,700 Roubles with Intelligence Center Level 2 | 2× Peltor ComTac VI headset (Coyote Brown)",The Blood of War - Part 3,
Break the Deal,Customs,Ragman,,,Stash a DVL-10 sniper rifle at the specified spot on Customs | Stash a DVL-10 magazine at the specified spot on Customs | Stash an ELCAN SpecterDR scope at the specified spot on Customs | Stash a pack of any 7.62x51 ammo at the specified spot on Customs,"+11,400 EXP | Ragman Rep +0.03 | 105,000 Roubles 110,250 Roubles with Intelligence center Level 1 120,750 Roubles with Intelligence center Level 2 | 1× IOTV Gen4 body armor (High Mobility Kit, MultiCam)",Make ULTRA Great Again,
Another Shipping Delay,Woods,Ragman,,,Locate the missing courier crew on Woods | Survive and extract from the location,"+12,800 EXP | Ragman Rep +0.02 | 67,000 Roubles 70,350 Roubles with Intelligence Center Level 1 77,050 Roubles with Intelligence Center Level 2 | 2× Peltor ComTac V headset (OD Green)",Hot Wheels | Natural Exchange,Ask for Directions
Stabilize Business,Ground Zero,Ragman,,,Eliminate 7 Scavs in one raid on Ground Zero | Survive and extract from the location,"+24,100 EXP | Ragman Rep +0.03 | 124,000 Roubles 130,200 Roubles with Intelligence Center Level 1 142,600 Roubles with Intelligence Center Level 2 | 1× IOTV Gen4 body armor (Assault Kit, MultiCam)",Ask for Directions,Battery Change
New Beginning (Prestige 1),The Lab,Ragman,,Must be level 55 to start this quest.,Eliminate 50 Scavs | Survive and extract from The Lab | Hand over the item: BEAR operative figurine | Hand over the item: Politician Mutkevich figurine | Hand over the item: Killa figurine | Hand over the item: Reshala figurine | Hand over the item: Ryzhy figurine | Hand over the item: Scav figurine | Hand over the item: Tagilla figurine | Hand over the item: USEC operative figurine | Hand over the item: Cultist figurine | Hand over the item: Den figurine,"+10,000 EXP | Ragman Rep +0.01 | 100,000 Roubles 105,000 Roubles with Intelligence Center Level 1 115,000 Roubles with Intelligence Center Level 2",,
New Beginning (Prestige 2),The Lab,Ragman,,Must be level 55 to start this quest. | Must have Prestige level 1,Eliminate 15 PMC operatives | Survive and extract from The Lab | Hand over the found in raid item: BEAR operative figurine | Hand over the found in raid item: Politician Mutkevich figurine | Hand over the found in raid item: Killa figurine | Hand over the found in raid item: Reshala figurine | Hand over the found in raid item: Ryzhy figurine | Hand over the found in raid item: Scav figurine | Hand over the found in raid item: Tagilla figurine | Hand over the found in raid item: USEC operative figurine | Hand over the found in raid item: Cultist figurine | Hand over the found in raid item: Den figurine,"+11,000 EXP | Ragman Rep +0.01 | 200,000 Roubles 210,000 Roubles with Intelligence Center Level 1 230,000 Roubles with Intelligence Center Level 2",,
New Beginning (Prestige 3),"The Lab , Streets of Tarkov",Ragman,,Must be level 55 to start this quest. | Must have Prestige level 2,Eliminate 25 PMC operatives | Eliminate 50 Raiders | Use the transit from The Lab to Streets of Tarkov | Survive and extract from Streets of Tarkov | Hand over the found in raid item: BEAR operative figurine | Hand over the found in raid item: Politician Mutkevich figurine | Hand over the found in raid item: Killa figurine | Hand over the found in raid item: Reshala figurine | Hand over the found in raid item: Ryzhy figurine | Hand over the found in raid item: Scav figurine | Hand over the found in raid item: Tagilla figurine | Hand over the found in raid item: USEC operative figurine | Hand over the found in raid item: Cultist figurine | Hand over the found in raid item: Den figurine,"+11,000 EXP | Ragman Rep +0.1 | 2,000,000 Roubles 2,100,000 Roubles with Intelligence Center Level 1 2,300,000 Roubles with Intelligence Center Level 2 | 2× Physical Bitcoin",,
New Beginning (Prestige 4),"The Lab , Streets of Tarkov , Interchange",Ragman,,Must be level 55 to start this quest. | Must have Prestige level 3,Eliminate 40 PMC operatives | Eliminate 100 Rogues | Use the transit from The Lab to Streets of Tarkov | Use the transit from Streets of Tarkov to Interchange | Survive and extract from Interchange | Hand over the found in raid item: BEAR operative figurine | Hand over the found in raid item: Politician Mutkevich figurine | Hand over the found in raid item: Killa figurine | Hand over the found in raid item: Reshala figurine | Hand over the found in raid item: Ryzhy figurine | Hand over the found in raid item: Scav figurine | Hand over the found in raid item: Tagilla figurine | Hand over the found in raid item: USEC operative figurine | Hand over the found in raid item: Cultist figurine | Hand over the found in raid item: Den figurine,"+11,000 EXP | Ragman Rep +0.1 | 3,000,000 Roubles 3,150,000 Roubles with Intelligence Center Level 1 3,450,000 Roubles with Intelligence Center Level 2 | 3× Physical Bitcoin",,
New Beginning (Prestige 5),"The Lab , Streets of Tarkov , Interchange , Customs",Ragman,,Must be level 55 to start this quest. | Must have Prestige level 4,Eliminate 45 PMC operatives | Eliminate 100 Rogues | Eliminate any boss | Use the transit from The Lab to Streets of Tarkov | Use the transit from Streets of Tarkov to Interchange | Use the transit from Interchange to Customs | Survive and extract from Customs | Hand over the found in raid item: BEAR operative figurine | Hand over the found in raid item: Politician Mutkevich figurine | Hand over the found in raid item: Killa figurine | Hand over the found in raid item: Reshala figurine | Hand over the found in raid item: Ryzhy figurine | Hand over the found in raid item: Scav figurine | Hand over the found in raid item: Tagilla figurine | Hand over the found in raid item: USEC operative figurine | Hand over the found in raid item: Cultist figurine | Hand over the found in raid item: Den figurine,"+11,000 EXP | Ragman Rep +0.1 | 3,000,000 Roubles 3,150,000 Roubles with Intelligence Center Level 1 3,450,000 Roubles with Intelligence Center Level 2 | 3× Physical Bitcoin",,
Sensory Analysis - Part 1,"Woods , Streets of Tarkov",Ragman,,Unlocks 30 minutes after completion of Hidden Layer,Obtain the item: Bottle of Fierce Hatchling moonshine | Go to Woods or Streets of Tarkov | Hand over the Bottle of Fierce Hatchling moonshine to BTR Driver,"+20,300 EXP | Ragman Rep +0.02 | 112,000 Roubles 117,800 Roubles with Intelligence Center Level 1 128,800 Roubles with Intelligence Center Level 2 | 2× Safariland Liberator HP 2.0 Hearing Protection Headset (FDE) | 2× ECLiPSE RBAV-AF plate carrier (Ranger Green)",Hidden Layer,Sensory Analysis - Part 2
Vacate the Premises,The Labyrinth,Ragman,,,Eliminate 24 PMC operatives inside The Labyrinth | Note: The objective in the PvE mode is to eliminate any 36 targets in The Labyrinth instead.,"+20,400 EXP | Ragman Rep +0.03 | 208,000 Roubles 218,400 Roubles with Intelligence Center Level 1 239,200 Roubles with Intelligence Center Level 2 | 3× Atomic Defense CQCM ballistic mask (Black) | 1× Last Breath poster",Offensive Reconnaissance,
Acquaintance,,Jaeger,,,Find 3 Iskra ration packs in raid | Find 2 Packs of instant noodles in raid | Find 2 Cans of beef stew (Large) in raid | Hand over the 3 found in raid Iskra ration packs | Hand over the 2 found in raid Packs of instant noodles | Hand over the 2 found in raid Cans of beef stew (Large),"+3,900 EXP | Jaeger Rep +0.01 | 50,000 Roubles 52,500 Roubles with Intelligence Center Level 1 57,500 Roubles with Intelligence Center Level 2 | 1× SurvL Survivor Lighter",Introduction,The Survivalist Path - Unprotected but Dangerous | Shady Business | The Tarkov Shooter - Part 1 | Rough Tarkov | Work Smarter
The Survivalist Path - Unprotected but Dangerous,Woods,Jaeger,,,Eliminate 5 Scavs without wearing any body armor on Woods,"+5,600 EXP | Jaeger Rep +0.02 | 35,000 Roubles 36,750 Roubles with Intelligence Center Level 1 40,250 Roubles with Intelligence Center Level 2 | 1× Kalashnikov AKMSN 7.62x39 assault rifle | 10× 7.62x39mm FMJ ammo pack (20 pcs)",Acquaintance,The Survivalist Path - Thrifty
The Survivalist Path - Thrifty,Woods,Jaeger,,,Stash 1 Iskra ration pack in the ZB-016 bunker on Woods | Stash 1 Bottle of water in the ZB-016 bunker on Woods | Stash 1 Iskra ration pack in the ZB-014 bunker on Woods | Stash 1 Bottle of water in the ZB-014 bunker on Woods,"+4,700 EXP | Jaeger Rep +0.01 | 22,000 Roubles 23,100 Roubles with Intelligence Center Level 1 25,300 Roubles with Intelligence Center Level 2 | 2× Phase control relay | 1× Metal fuel tank | Unlocks purchase of Iskra ration pack at Jaeger LL2",The Survivalist Path - Unprotected but Dangerous,The Survivalist Path - Zhivchik | The Delicious Sausage
The Survivalist Path - Zhivchik,,Jaeger,,,Survive for 5 minutes while suffering from complete dehydration (Excluding Factory ) | Survive and extract from the location,"+5,700 EXP | Jaeger Rep +0.02 | 30,000 Roubles 31,500 Roubles with Intelligence Center Level 1 34,500 Roubles with Intelligence Center Level 2 | 2× Aquamari water bottle with filter | 2× Water filter",The Survivalist Path - Thrifty,The Survivalist Path - Wounded Beast
The Survivalist Path - Wounded Beast,Any,Jaeger,,,Eliminate 3 Scavs while suffering from pain effect,"+5,800 EXP | +1 Stress resistance skill level | Jaeger Rep +0.02 | 65,000 Roubles 68,250 Roubles with Intelligence Center Level 1 74,750 Roubles with Intelligence Center Level 2 | Unlocks purchase of Benelli M3 Super 90 12ga dual-mode shotgun at Jaeger LL2 | Unlocks Bear Hideout shooting range target style",The Survivalist Path - Zhivchik,The Survivalist Path - Tough Guy | The Survivalist Path - Cold Blooded
The Survivalist Path - Tough Guy,Woods,Jaeger,,,Eliminate 3 Scavs in a single raid without using any medicine on Woods,"+7,000 EXP | +1 Perception skill level | Jaeger Rep +0.02 | 40,000 Roubles 42,000 Roubles with Intelligence Center Level 1 46,000 Roubles with Intelligence Center Level 2 | 1× CMS surgical kit | 3× Pile of meds",The Survivalist Path - Wounded Beast,Courtesy Visit | The Hermit | The Survivalist Path - Eagle-Owl | The Huntsman Path - Secured Perimeter
The Survivalist Path - Cold Blooded,,Jaeger,,,Eliminate 2 PMC operatives with headshots while suffering from the tremor effect,"+5,900 EXP | +1 Stress Resistance skill level | Jaeger Rep +0.02 | 75,000 Roubles 78,750 Roubles with Intelligence Center Level 1 86,250 Roubles with Intelligence Center Level 2",The Survivalist Path - Wounded Beast,
The Survivalist Path - Junkie,Woods,Jaeger,,,Eliminate 15 Scavs while under any stimulant effect on Woods,"+5,900 EXP | +2 Metabolism skill levels | Jaeger Rep +0.02 | 30,000 Roubles 31,500 Roubles with Intelligence Center Level 1 34,500 Roubles with Intelligence Center Level 2 | 6× 12/70 RIP ammo pack (5 pcs) | 4× 5.56x45mm Warmageddon ammo pack (20 pcs) | 1× 5.45x39mm BT gs ammo pack (120 pcs)",The Survivalist Path - Combat Medic,
The Survivalist Path - Eagle-Owl,,Jaeger,,,Eliminate 6 Scavs in the time period of 21:00-04:00 without using any NVGs or thermal sights (Excluding Factory ),"+5,900 EXP | +0.5 Perception skill level | Jaeger Rep +0.02 | 40,000 Roubles 42,000 Roubles with Intelligence Center Level 1 46,000 Roubles with Intelligence Center Level 2 | 3× Armasight Vulcan MG 3.5x Bravo night vision scope",The Survivalist Path - Tough Guy,The Survivalist Path - Combat Medic
The Survivalist Path - Combat Medic,Any,Jaeger,,,Reach the required Vitality skill level of 5,"+5,900 EXP | +2 Surgery skill levels | Jaeger Rep +0.02 | 50,000 Roubles 52,500 Roubles with Intelligence Center Level 1 57,500 Roubles with Intelligence Center Level 2",The Survivalist Path - Eagle-Owl,The Survivalist Path - Junkie
The Huntsman Path - Secured Perimeter,Factory,Jaeger,,,Eliminate 6 PMСs in the office area (any floor) on Factory,"+9,800 EXP | Jaeger Rep +0.02 | 37,000 Roubles 38,850 Roubles with Intelligence Center Level 1 42,550 Roubles with Intelligence Center Level 2 | 2× Pliers Elite | 1× Toolset | 2× Nippers | 2× Corrugated hose",The Tarkov Shooter - Part 3 | The Survivalist Path - Tough Guy,The Huntsman Path - Trophy | The Huntsman Path - Justice | The Huntsman Path - Woods Keeper | The Huntsman Path - Forest Cleaning | The Huntsman Path - Eraser - Part 2
The Huntsman Path - Trophy,Customs,Jaeger,,,Eliminate Reshala | Find 1 Reshala's Golden TT in raid | Hand over 1 Reshala's Golden TT to Jaeger,"+15,300 EXP | Jaeger Rep +0.02 | 90,000 Roubles 94,500 Roubles with Intelligence Center Level 1 103,500 Roubles with Intelligence Center Level 2 | 1× Magazine case | 3× Golden neck chain | 2× Gold skull ring | 1× Roler Submariner gold wrist watch",The Huntsman Path - Secured Perimeter,Stray Dogs | The Huntsman Path - Relentless
The Huntsman Path - Forest Cleaning,Any,Jaeger,,,Eliminate 30 Scavs all over the Tarkov territory,"+5,900 EXP | Jaeger Rep +0.02 | 55,000 Roubles 57,750 Roubles with Intelligence Center Level 1 63,250 Roubles with Intelligence Center Level 2 | 1× TOZ KS-23M 23x75mm pump-action shotgun | 3× 23x75mm Barrikada slug ammo pack (5 pcs)",The Huntsman Path - Secured Perimeter,The Huntsman Path - Controller | The Huntsman Path - Factory Chief | The Huntsman Path - Evil Watchman | The Huntsman Path - Outcasts | The Huntsman Path - Administrator | The Huntsman Path - Sellout | The Huntsman Path - Big Game | Trophies | Claustrophobia
The Huntsman Path - Controller,Any,Jaeger,,,Eliminate 2 PMCs while they are suffering from the stun effect,"+7,200 EXP | Jaeger Rep +0.02 | 50,000 Roubles 52,500 Roubles with Intelligence Center Level 1 57,500 Roubles with Intelligence Center Level 2 | 1× NcSTAR ADO P4 Sniper 3-9x42 riflescope",The Huntsman Path - Forest Cleaning,
The Huntsman Path - Sellout,Interchange,Jaeger,,Must be level 32 to start this quest.,Eliminate Killa | Find 1 Killa's Maska-1SCh bulletproof helmet in raid | Hand over 1 Killa's Maska-1SCh bulletproof helmet to Jaeger,"+20,000 EXP | Jaeger Rep +0.02 | 150,000 Roubles 157,500 Roubles with Intelligence Center Level 1 172,500 Roubles with Intelligence Center Level 2 | 3× Intelligence folder | 1× IDEA cash register key | 1× OLI cash register key | 1× Goshan cash register key | Unlocks barter for RPK-16 5.45x39 light machine gun at Prapor LL2",Sales Night | The Huntsman Path - Forest Cleaning,Stray Dogs | The Huntsman Path - Relentless
The Huntsman Path - Crooked Cop,Streets of Tarkov,Jaeger,,,Locate and neutralize Kollontay | Eliminate 4 of Kollontay 's guards | Hand over the found in raid Kollontay 's police baton,"+36,000 EXP | Jaeger Rep +0.02 | 150,000 Roubles 157,500 Roubles with Intelligence Center Level 1 172,500 Roubles with Intelligence Center Level 2 | 1× Intelligence folder | 5× GP coin | 1× Accuracy International AXMC .338 LM bolt-action sniper rifle",The Huntsman Path - Administrator,
The Huntsman Path - Woods Keeper,Woods,Jaeger,,,Eliminate Shturman | Find 1 Shturman's stash key in raid | Hand over 1 Shturman's stash key to Jaeger,"+18,000 EXP | Jaeger Rep +0.02 | 4× Gunpowder ""Hawk"" | 1× VPX Flash Storage Module | 3× TerraGroup Labs access keycard | Unlocks purchase of Remington Model 700 7.62x51 bolt-action sniper rifle (variant ARCH) at Jaeger LL3 | Unlocks purchase of Remington Model 700 7.62x51 bolt-action sniper rifle (variant AICS) at Jaeger LL3 | Unlocks purchase of Remington Model 700 7.62x51 bolt-action sniper rifle (variant PRO) at Jaeger LL4 | Unlocks barter for Remington Model 700 7.62x51 bolt-action sniper rifle (variant MRS) at Jaeger LL4",The Huntsman Path - Secured Perimeter | Supply Plans | Kind of Sabotage,Hunting Trip | Stray Dogs | Hunter | The Huntsman Path - Relentless
The Huntsman Path - Justice,Customs,Jaeger,,,Eliminate 3 Scavs dressed in police uniform ( Reshala's bodyguards),"+12,300 EXP | Jaeger Rep +0.02 | 80,000 Roubles 84,000 Roubles with Intelligence Center Level 1 92,000 Roubles with Intelligence Center Level 2 | 3× Expeditionary fuel tank | 2× Propane tank (5L) | 1× WD-40 (400ml)",The Huntsman Path - Secured Perimeter,
The Huntsman Path - Evil Watchman,Customs,Jaeger,,,Eliminate 5 PMCs in the Dorms area on Customs,"+10,000 EXP | Jaeger Rep +0.02 | 75,000 Roubles 78,750 Roubles with Intelligence Center Level 1 86,250 Roubles with Intelligence Center Level 2 | 2× Intelligence folder | 1x Military flash drive",The Huntsman Path - Forest Cleaning,
The Huntsman Path - Eraser - Part 1,Reserve,Jaeger,,,Eliminate Glukhar,"+18,300 EXP | Jaeger Rep +0.02 | 200,000 Roubles 210,000 Roubles with Intelligence Center Level 1 230,000 Roubles with Intelligence Center Level 2 | 5,000 Dollars 5,250 Dollars with Intelligence Center Level 1 5,750 Dollars with Intelligence Center Level 2 | 1× Weapon case",Pest Control,The Huntsman Path - Eraser - Part 2 | The Huntsman Path - Relentless
The Huntsman Path - Eraser - Part 2,"The Lab , Reserve",Jaeger,,,Eliminate 6 Raiders,"+22,500 EXP | Jaeger Rep +0.04 | 80,000 Roubles 84,000 Roubles with Intelligence Center Level 1 92,000 Roubles with Intelligence Center Level 2 | 1× FLIR RS-32 2.25-9x 35mm 60Hz thermal riflescope | Unlocks barter for MP-155 Ultima thermal camera at Jaeger LL4",The Huntsman Path - Eraser - Part 1 | The Huntsman Path - Secured Perimeter,
The Huntsman Path - Sadist,Shoreline,Jaeger,,,Eliminate Sanitar,"+16,300 EXP | Jaeger Rep +0.02 | 115,000 Roubles 120,750 Roubles with Intelligence Center Level 1 132,250 Roubles with Intelligence Center Level 2 | 1× Trijicon REAP-IR thermal scope | 4× 12/70 AP-20 ammo pack (25 pcs) | 2× Surv12 field surgical kit",Colleagues - Part 2 | Rigged Game | Chemistry Closet,TerraGroup Employee | Swift One | The Huntsman Path - Relentless
Ambulance,Any,Jaeger,,Must be level 25 to start this quest.,Find 1 Portable defibrillator in raid | Find 2 CMS surgery kits in raid | Hand over 1 Portable defibrillator to Jaeger | Hand over 2 CMS surgery kits to Jaeger,"+14,800 EXP | +1 Vitality skill level | Jaeger Rep +0.02 | 35,000 Roubles 36,750 Roubles with Intelligence Center Level 1 40,250 Roubles with Intelligence Center Level 2 | 3× Grizzly medical kit | 3× Golden Star balm | Unlocks purchase of Surv12 field surgical kit at Jaeger LL3",Shady Business,
Shady Business,,Jaeger,,Must be level 20 to start this quest.,Find 3 Secure Flash drives in raid | Hand over 3 Secure Flash drives to Jaeger,"+11,400 EXP | Jaeger Rep +0.02 | 50,000 Roubles 52,500 Roubles with Intelligence Center Level 1 57,500 Roubles with Intelligence Center Level 2 | 1× SSD drive",What’s on the Flash Drive? | Acquaintance,Ambulance
Nostalgia,Shoreline,Jaeger,,Must be level 28 to start this quest.,Locate Jaeger's Health Resort room with a view of the bay on Shoreline | Obtain Jaeger's Photo album | Hand over the Photo album to Jaeger,"+16,800 EXP | Jaeger Rep +0.02 | 30,000 Roubles 31,500 Roubles with Intelligence Center Level 1 34,500 Roubles with Intelligence Center Level 2 | 1× Documents case | 1× HEP station storage room key",Courtesy Visit,Fishing Place | Forester's Duty
Fishing Place,,Jaeger,,Must be level 25 to start this quest.,Find 2 TerraGroup Labs access keycards in raid | Hand over 2 TerraGroup Labs access keycards to Jaeger,"+18,000 EXP | Jaeger Rep +0.02 | 40,000 Roubles 42,000 Roubles with Intelligence Center Level 1 46,000 Roubles with Intelligence Center Level 2 | 1× Remington Model 700 7.62x51 bolt-action sniper rifle (variant AAC SD) | 1× FORT Redut-M body armor",Nostalgia,
Courtesy Visit,Shoreline,Jaeger,,Must be level 20 to start this quest.,"Locate the chairman's house in the abandoned village on Shoreline | Locate the fisherman's house in the abandoned village on Shoreline | Locate the priest's house in the abandoned village on Shoreline | Survive and extract from Shoreline with the ""Survived"" exit status","+11,800 EXP | Jaeger Rep +0.03 | 35,000 Roubles 36,750 Roubles with Intelligence Center Level 1 40,250 Roubles with Intelligence Center Level 2 | 5× Emelya rye croutons | 5× Pack of milk",The Survivalist Path - Tough Guy,Nostalgia
Hunting Trip,,Jaeger,,Must be level 33 to start this quest.,Eliminate Shturman with a headshot from over 75 meters away while using an M700 Sniper rifle with the specified scope,"+15,000 EXP | Jaeger Rep +0.02 | 100,000 Roubles 105,000 Roubles with Intelligence Center Level 1 115,000 Roubles with Intelligence Center Level 2 | 1× VPX Flash Storage Module | 1× Iridium military thermal vision module | 1× Phased array element | Unlocks purchase of Accuracy International AXMC .338 LM bolt-action sniper rifle at Jaeger LL4",The Huntsman Path - Woods Keeper,Connections Up North
Reserve (quest),Reserve,Jaeger,,Must be level 20 to start this quest.,Locate the food storage location on Reserve | Survive and extract from the location,"+11,800 EXP | Jaeger Rep +0.02 | 16,000 Roubles 16,800 Roubles with Intelligence Center Level 1 18,400 Roubles with Intelligence Center Level 2 | 3× Pack of nails | 3× Pack of screws | 1× Silicone tube | 2× Broken LCDs",The Delicious Sausage,Pest Control
The Tarkov Shooter - Part 1,,Jaeger,,,Eliminate 5 Scavs from over 40 meters away while using a bolt-action rifle with iron sights,"+12,300 EXP | Jaeger Rep +0.02 | 50,000 Roubles 52,500 Roubles with Intelligence Center Level 1 57,500 Roubles with Intelligence Center Level 2 | 2× PU 3.5x riflescope | 2× PU 3.5x ring scope mount | 2× Mosin Rifle Kochetov mount",Acquaintance,The Tarkov Shooter - Part 2
